ACNH67_000004-T1	KAJ0754299.1	28.2	174	108	6	24	189	490	654	0.000514	53.1	KAJ0754299.1 putative nucleotidyltransferase, Ribonuclease H [Helianthus annuus]
ACNH67_000007-T1	CAH4034444.1	35.7	98	47	4	132	226	22	106	0.000322	52.4	CAH4034444.1 unnamed protein product [Pieris brassicae]
ACNH67_000009-T1	CAB3986870.1	36.3	80	50	1	11	90	1113	1191	7.48e-05	52.8	CAB3986870.1 ATP-dependent DNA helicase PIF1 [Paramuricea clavata]
ACNH67_000010-T1	XP_011270971.1	62.5	40	15	0	1	40	1	40	1.04e-05	54.7	XP_011270971.1 hypothetical protein CAOG_09245, partial [Capsaspora owczarzaki ATCC 30864]
ACNH67_000016-T1	CAG8635270.1	30.1	156	79	5	7	133	796	950	0.000693	52.0	CAG8635270.1 911_t:CDS:2, partial [Paraglomus occultum]
ACNH67_000019-T1	ABV45226.1	29.1	151	85	4	39	167	174	324	1.2e-07	62.8	ABV45226.1 gag-pol polyprotein [Ascogregarina taiwanensis]
ACNH67_000020-T1	POM78480.1	32.1	109	64	3	53	160	1520	1619	1.73e-06	59.7	POM78480.1 Retrovirus Polyprotein [Phytophthora palmivora]
ACNH67_000022-T1	ABV45229.1	29.5	176	107	3	103	265	191	362	2.3e-09	71.2	ABV45229.1 unknown [Ascogregarina taiwanensis]
ACNH67_000028-T1	XP_011132575.1	29.7	794	387	23	319	986	31	779	2.91e-87	317.0	XP_011132575.1 X-pro dipeptidyl-peptidase, S15 family protein [Gregarina niphandrodes]
ACNH67_000031-T1	CEL98303.1	31.5	607	291	10	1	602	1	487	6.9e-71	265.0	CEL98303.1 unnamed protein product [Vitrella brassicaformis CCMP3155]
ACNH67_000032-T1	KAH0474095.1	34.9	152	80	4	253	393	125	268	4.67e-17	93.6	KAH0474095.1 MAG: hypothetical protein KVP18_005156 [Porospora cf. gigantea A]
ACNH67_000034-T1	XP_011133279.1	40.8	1926	882	33	148	1880	2	1861	0.0	1173.0	XP_011133279.1 E1-E2 ATPase [Gregarina niphandrodes]
ACNH67_000035-T1	CEL92653.1	34.3	335	184	7	10	316	92	418	2.1e-49	181.0	CEL92653.1 unnamed protein product [Vitrella brassicaformis CCMP3155]
ACNH67_000036-T1	MCJ1385185.1	38.7	119	73	0	1	119	1	119	3.5e-13	72.4	MCJ1385185.1 hypothetical protein [Xylographa soralifera]
ACNH67_000038-T1	XP_011134414.1	44.7	387	203	6	169	546	196	580	1.13e-85	313.0	XP_011134414.1 peptidase S8 family domain protein [Gregarina niphandrodes]
ACNH67_000039-T1	XP_011128581.1	47.6	340	169	3	48	385	65	397	7.069999999999999e-108	335.0	XP_011128581.1 putative alpha/beta hydrolase [Gregarina niphandrodes]
ACNH67_000044-T1	XP_053993498.1	36.0	308	190	3	394	695	359	665	3.13e-51	207.0	XP_053993498.1 uncharacterized protein LOC128884260 isoform X2 [Hylaeus volcanicus]
ACNH67_000045-T1	XP_011131023.1	61.7	128	39	2	68	195	28	145	1.06e-38	144.0	XP_011131023.1 RNA recognition motif protein [Gregarina niphandrodes]
ACNH67_000046-T1	CEM06402.1	40.8	142	74	4	13	151	18	152	1.72e-18	95.5	CEM06402.1 unnamed protein product [Vitrella brassicaformis CCMP3155]
ACNH67_000048-T1	KAJ1613377.1	81.2	186	35	0	1	186	1	186	2.98e-99	295.0	KAJ1613377.1 putative 40S ribosomal subunit protein S9 [Cryptosporidium canis]
ACNH67_000051-T1	XP_002769447.1	65.2	187	65	0	15	201	3	189	5.879999999999999e-82	252.0	XP_002769447.1 conserved hypothetical protein [Perkinsus marinus ATCC 50983]
ACNH67_000055-T1	XP_011133204.1	34.4	2387	1078	55	758	2982	429	2489	0.0	1101.0	XP_011133204.1 putative guanylyl cyclase [Gregarina niphandrodes]
